year,month,day,catch_scrubbed,trips_scrubbed
2000,9,9,18920,47
2000,9,10,52943,137
2000,9,11,62700,172
2000,9,12,63885,170
2000,9,13,71918,185
2000,9,14,69515,175
2000,9,15,70867,142
2000,9,16,20775,48
2000,9,17,47921,154
2000,9,18,52641,187
2000,9,19,55839,176
2000,9,20,63691,194
2000,9,21,63956,194
2000,9,22,69604,183
2000,9,23,17692,50
2000,9,24,48434,137
2000,9,25,70794,197
2000,9,26,64290,176
2000,9,27,67259,189
2000,9,28,55672,173
2000,9,29,45892,122
2000,9,30,17248,46
2000,10,1,18013,67
2000,10,2,52703,154
2000,10,3,56240,185
2000,10,4,59549,184
2000,10,5,54336,163
2000,10,6,58923,143
2000,10,7,11036,42
2000,10,8,29301,81
2000,10,9,55674,139
2000,10,10,62751,175
2000,10,11,61026,185
2000,10,12,54251,160
2000,10,13,56493,126
2000,10,14,22083,44
2000,10,15,27816,81
2000,10,16,39348,134
2000,10,17,41891,135
2000,10,18,48092,144
2000,10,19,55832,154
2000,10,20,39774,108
2000,10,21,17291,47
2000,10,22,23120,84
2000,10,23,35745,136
2000,10,24,35775,137
2000,10,25,37271,135
2000,10,26,40240,111
2000,10,27,34548,89
2000,10,28,20755,51
2000,10,29,33313,96
2000,10,30,35964,129
2000,10,31,31481,117
2000,11,1,32799,113
2000,11,2,31442,112
2000,11,3,29832,99
2000,11,4,13140,37
2000,11,5,16439,71
2000,11,6,22943,108
2000,11,7,21740,113
2000,11,8,19665,95
2000,11,9,17823,79
2000,11,10,18904,71
2000,11,11,9659,37
2000,11,12,19999,89
2000,11,13,24129,123
2000,11,14,19434,104
2000,11,15,23509,98
2000,11,16,18870,81
2000,11,17,10930,44
2000,11,18,4623,23
2000,11,19,4211,21
2000,11,20,10762,46
2000,11,21,13816,44
2000,11,22,7020,34
2000,11,23,3703,19
2000,11,24,4307,17
2000,11,25,702.7,5
2000,11,26,1936,12
2000,11,27,4103,33
2000,11,28,5391,36
2000,11,29,4951,32
2000,11,30,2773,23
2000,12,1,2069,15
2000,12,2,719.3,5
2000,12,3,208.8,< 4
2000,12,4,243.8,< 4
2000,12,5,650.4,5
2000,12,6,263.4,< 4
2000,12,7,699.5,< 4
2000,12,8,766.1,< 4
2000,12,9,1292,7
2000,12,10,1159,7
2000,12,11,1940,11
2000,12,12,1541,9
2000,12,13,974.9,5
2000,12,14,974.9,5
2000,12,15,339.6,< 4
2000,12,16,366,< 4
2000,12,17,453.4,4
2000,12,18,749.6,6
2000,12,19,749.6,6
2000,12,20,673,5
2000,12,21,585.6,< 4
2000,12,22,237,< 4
2000,12,23,0,0
2000,12,24,0,0
2000,12,25,0,0
2000,12,26,0,0
2000,12,27,0,0
2000,12,28,0,0
2000,12,29,0,0
2000,12,30,250,< 4
2000,12,31,0,0
2001,1,1,0,0
2001,1,2,0,0
2001,1,3,0,0
2001,1,4,0,0
2001,1,5,< 200,< 4
2001,1,6,< 200,< 4
2001,1,7,< 200,< 4
2001,1,8,< 200,< 4
2001,1,9,0,0
2001,1,10,0,0
2001,1,11,0,0
2001,1,12,0,0
2001,1,13,0,0
2001,1,14,0,0
2001,1,15,0,0
2001,1,16,0,0
2001,1,17,0,0
2001,1,18,0,0
2001,1,19,0,0
2001,1,20,0,0
2001,1,21,0,0
2001,1,22,0,0
2001,1,23,0,0
2001,1,24,0,0
2001,1,25,0,0
2001,1,26,0,0
2001,1,27,0,0
2001,1,28,0,0
2001,1,29,0,0
2001,1,30,0,0
2001,1,31,0,0
2001,2,1,< 200,< 4
2001,2,2,0,0
2001,2,3,0,0
2001,2,4,0,0
2001,2,5,0,0
2001,2,6,0,0
2001,2,7,0,0
2001,2,8,0,0
2001,2,9,0,0
2001,2,10,0,0
2001,2,11,0,0
2001,2,12,0,0
2001,2,13,0,0
2001,2,14,0,0
2001,2,15,0,0
2001,2,16,0,0
2001,2,17,0,0
2001,2,18,0,0
2001,2,19,0,0
2001,2,20,0,0
2001,2,21,0,0
2001,2,22,0,0
2001,2,23,0,0
2001,2,24,0,0
2001,2,25,0,0
2001,2,26,< 200,< 4
2001,2,27,< 200,< 4
2001,2,28,< 200,< 4
2001,3,1,0,0
2001,3,2,< 200,< 4
2001,3,3,0,0
2001,3,4,0,0
2001,3,5,0,0
2001,3,6,0,0
2001,3,7,0,0
2001,3,8,0,0
2001,3,9,0,0
2001,3,10,0,0
2001,3,11,< 200,< 4
2001,3,12,< 200,< 4
2001,3,13,308.5,< 4
2001,3,14,286,4
2001,3,15,264.5,6
2001,3,16,333.5,< 4
2001,3,17,< 200,< 4
2001,3,18,< 200,5
2001,3,19,< 200,5
2001,3,20,< 200,< 4
2001,3,21,< 200,< 4
2001,3,22,< 200,< 4
2001,3,23,< 200,< 4
2001,3,24,0,0
2001,3,25,0,0
2001,3,26,0,0
2001,3,27,0,0
2001,3,28,0,0
2001,3,29,0,0
2001,3,30,0,0
2001,3,31,0,0
2001,4,1,296,5
2001,4,2,472,6
2001,4,3,367.5,7
2001,4,4,246,7
2001,4,5,< 200,5
2001,4,6,< 200,4
2001,4,7,0,0
2001,4,8,685.5,11
2001,4,9,561.5,13
2001,4,10,459,11
2001,4,11,234.5,11
2001,4,12,205.5,7
2001,4,13,< 200,< 4
2001,4,14,< 200,< 4
2001,4,15,300.8,6
2001,4,16,275.9,10
2001,4,17,232.9,6
2001,4,18,< 200,4
2001,4,19,291.8,10
2001,4,20,265.3,8
2001,4,21,0,0
2001,4,22,689.8,19
2001,4,23,1039,29
2001,4,24,577.6,16
2001,4,25,431.3,12
2001,4,26,281.8,9
2001,4,27,722.8,15
2001,4,28,< 200,< 4
2001,4,29,828.6,16
2001,4,30,809.1,28
2001,5,1,1170,32
2001,5,2,944.2,32
2001,5,3,651.2,25
2001,5,4,249,9
2001,5,5,< 200,< 4
2001,5,6,< 200,< 4
2001,5,7,1105,18
2001,5,8,1395,27
2001,5,9,1216,35
2001,5,10,904.5,34
2001,5,11,377.5,17
2001,5,12,< 200,< 4
2001,5,13,1384,32
2001,5,14,1790,48
2001,5,15,1350,45
2001,5,16,1104,34
2001,5,17,857.3,22
2001,5,18,764.3,19
2001,5,19,< 200,< 4
2001,5,20,2488,35
2001,5,21,2800,57
2001,5,22,2119,38
2001,5,23,3537,48
2001,5,24,2693,52
2001,5,25,3497,45
2001,5,26,480.8,8
2001,5,27,2212,38
2001,5,28,3881,65
2001,5,29,4205,64
2001,5,30,2597,63
2001,5,31,1657,59
