week,year,diesel_price
10,2001,142
11,2001,140
12,2001,138.3
13,2001,140.2
14,2001,140.9
15,2001,144.6
16,2001,145.3
17,2001,144.3
18,2001,144.3
19,2001,144.3
20,2001,144.2
21,2001,146.1
22,2001,144.6
23,2001,143.2
24,2001,144.6
25,2001,142.7
26,2001,140
27,2001,138.5
28,2001,137.6
29,2001,135.4
30,2001,135.3
31,2001,135
32,2001,137.2
33,2001,137.9
34,2001,138.7
35,2001,140.8
36,2001,141.5
37,2001,144.9
38,2001,141.4
39,2001,135.5
40,2001,132.8
41,2001,131.7
42,2001,128.9
43,2001,128.4
44,2001,127.2
45,2001,125.4
46,2001,124
47,2001,121.5
48,2001,119.4
49,2001,118.6
50,2001,116.7
51,2001,117.9
52,2001,119.2
1,2002,119.2
2,2002,119.2
3,2002,117.7
4,2002,117.6
5,2002,117.1
6,2002,117.9
7,2002,118.4
8,2002,118.6
9,2002,119
10,2002,122.7
11,2002,126.2
12,2002,128.7
13,2002,129.4
14,2002,132.2
15,2002,132
16,2002,130.8
17,2002,130.7
18,2002,131.3
19,2002,130.8
20,2002,131.3
21,2002,131.2
22,2002,130.5
23,2002,129.7
24,2002,127.9
25,2002,128.2
26,2002,129.1
27,2002,129.7
28,2002,130.1
29,2002,131.4
30,2002,130.6
31,2002,130.7
32,2002,130.3
33,2002,132.9
34,2002,135.9
35,2002,137.4
36,2002,137.8
37,2002,139.5
38,2002,139.9
39,2002,142
40,2002,144.8
41,2002,144.9
42,2002,145.4
43,2002,144.2
44,2002,143.2
45,2002,142
46,2002,139.4
47,2002,139.8
48,2002,140.2
49,2002,140.4
50,2002,140.5
51,2002,144.8
52,2002,150.6
1,2003,151.7
2,2003,150.3
3,2003,151
4,2003,152.6
5,2003,157.1
6,2003,171.6
7,2003,175.6
8,2003,175.4
9,2003,179.5
10,2003,181.5
11,2003,180.5
12,2003,174.1
13,2003,169.2
14,2003,163.4
15,2003,160.8
16,2003,159.1
17,2003,156.5
18,2003,154.7
19,2003,149.7
20,2003,147.7
21,2003,146.5
22,2003,144.7
23,2003,144.1
24,2003,143.9
25,2003,142.9
26,2003,142.7
27,2003,143.3
28,2003,144.5
29,2003,144.7
30,2003,144.1
31,2003,144.7
32,2003,148.2
33,2003,148.4
34,2003,148.4
35,2003,148.2
36,2003,147.2
37,2003,146.1
38,2003,144.3
39,2003,143.2
40,2003,144.4
41,2003,147.5
42,2003,149.2
43,2003,148.6
44,2003,147.3
45,2003,147.1
46,2003,147.8
47,2003,149.5
48,2003,148.4
49,2003,148.6
50,2003,149.3
51,2003,151.5
52,2003,151.6
1,2004,151.9
2,2004,158.3
3,2004,159.8
4,2004,163.6
5,2004,162.2
6,2004,159.5
7,2004,160.2
8,2004,161.6
9,2004,162.9
10,2004,163.9
11,2004,162.4
12,2004,164.3
13,2004,163.8
14,2004,163.6
15,2004,164
16,2004,166.5
17,2004,165.5
18,2004,165.3
19,2004,167.8
20,2004,170
21,2004,170.7
22,2004,170.5
23,2004,170
24,2004,168.7
25,2004,168.5
26,2004,168.8
27,2004,169.8
28,2004,171.8
29,2004,172.7
30,2004,173.7
31,2004,176.5
32,2004,180.3
33,2004,181.1
34,2004,186.1
35,2004,185.8
36,2004,185.8
37,2004,186.7
38,2004,190.5
39,2004,201.9
40,2004,205.8
41,2004,210
42,2004,217.9
43,2004,221.3
44,2004,221.2
45,2004,218.2
46,2004,215.9
47,2004,214.3
48,2004,214.1
49,2004,211.1
50,2004,206.3
51,2004,205.2
52,2004,204.5
1,2005,202.5
2,2005,199.9
3,2005,200.9
4,2005,201.4
5,2005,204.8
6,2005,202.5
7,2005,201.3
8,2005,202.7
9,2005,211.7
10,2005,216.3
11,2005,219.7
12,2005,224.5
13,2005,224.8
14,2005,229.9
15,2005,230.6
16,2005,226
17,2005,228.7
18,2005,226.4
19,2005,223.7
20,2005,220.4
21,2005,218.1
22,2005,218.8
23,2005,226.3
24,2005,230.8
25,2005,234.8
26,2005,236.8
27,2005,237
28,2005,242.7
29,2005,241.2
30,2005,236.5
31,2005,235.6
32,2005,238.6
33,2005,254.4
34,2005,256.4
35,2005,256.4
36,2005,290
37,2005,284.9
38,2005,274.9
39,2005,280.8
40,2005,319.8
41,2005,316
42,2005,311.6
43,2005,305.1
44,2005,278.4
45,2005,265.7
46,2005,256.5
47,2005,249.1
48,2005,246.7
49,2005,242.8
50,2005,245.8
51,2005,249.9
52,2005,248.1
