T,X,theta2_error,theta1_error,theta_error,theta2_rerror,theta1_rerror,theta_rerror
4,0,0.2091859868820598,1.4183661645388737,1.4337089501766167,0.15390061835157337,0.07309806356510888,0.0737081586737618
5,0,0.16800709198156916,11.182551805436534,11.183813806757872,0.12360481564183902,0.576313016434424,0.5749690845863578
6,0,0.13682145954294975,1.3969848204206385,1.4036690137910528,0.10066117497295239,0.07199613735554625,0.07216378078773125
7,0,0.11701260749661427,1.3938356809169783,1.3987386659810521,0.0860875669401893,0.07183384076009074,0.07191030754363133
8,0,0.10130087786824071,1.344307837701185,1.3481192196396103,0.07452826059648697,0.06928133385309762,0.06930792009082695
9,0,0.08934153282785517,1.3184225271883483,1.3214461281814485,0.06572962822044322,0.06794728759580758,0.06793663447719124
10,0,0.08011827154899076,1.2877282340834602,1.2902181762367575,0.05894396520738652,0.06636540172982835,0.0663311797322011
11,0,0.07172248292235249,1.2030938758785152,1.2052298489221611,0.05276708366552091,0.06200361712826986,0.06196185978455748
12,0,0.06570671006099389,1.1467414550896529,1.1486223646473952,0.04834120802716999,0.05909939328265151,0.05905162236675177
13,0,0.06021983579634305,1.119079515237031,1.1206986169557303,0.044304449376490425,0.05767378522160575,0.057616039485463504
14,0,0.0554835044478877,1.3698508372204015,1.3709740097825538,0.040819874075295935,0.07059773849470599,0.0704829036871169
15,0,0.05023198187835395,1.0573416786648366,1.0585342117500038,0.0369562664656994,0.0544920142410538,0.05442011618303922
16,0,0.04692776243449037,1.0252957497443416,1.0263691291786399,0.03452531292450161,0.05284046938063697,0.05276648278022571
17,0,0.04376921329924883,0.9939007471568971,0.9948640305247112,0.03220153076178166,0.05122247118514993,0.05114677969451209
4,1,0.19950172822400045,1.4894989848181974,1.5028001082442084,0.1467757940841036,0.07676402200965056,0.07726019204927548
5,1,0.15758367898593537,1.451243661592683,1.4597742226781785,0.1159361867376175,0.0747924647920885,0.07504819581392425
6,1,0.12815474064661228,1.4295368163411954,1.435269712223149,0.0942849668095556,0.07367376329337706,0.07378839873682595
7,1,0.10929435756888217,1.364559069929044,1.3689290383076882,0.0804091586769261,0.07032501770404812,0.0703777700182965
8,1,0.09338969758909024,1.3596962852488947,1.3628997115471944,0.06870791117920749,0.07007440530751753,0.07006779736066351
9,1,0.08121467770797723,1.281235299053515,1.2838067282172811,0.059750604257867594,0.06603077658900842,0.06600156190573085
10,1,0.07225410016567889,1.2400689180694002,1.2421721203410439,0.05315820079384184,0.06390919274898456,0.06386109240298868
11,1,0.06410148254135128,1.1605631771552933,1.1623320903394123,0.04716022305035487,0.05981172070796198,0.05975645066300846
12,1,0.05856719572109146,1.1307294319921068,1.132245187575476,0.04308858241864678,0.05827418473534318,0.058209658196759946
13,1,0.052878327749424595,1.0930220393904617,1.0943003683353394,0.03890321459544926,0.056330866112704096,0.056258883768620496
14,1,0.04806188275655893,1.0695068187055694,1.0705861851489644,0.035359698733288335,0.05511896671793063,0.05503971806772656
15,1,0.04309064213035242,1.0172578708600932,1.0181701131274754,0.0317022978827285,0.052426222766258336,0.05234496460807961
16,1,0.039901572096785284,1.004019371135994,1.0048119391568313,0.029356061132132148,0.05174395275832037,0.05165820987553877
17,1,0.036819668894836045,0.9892111680605605,0.9898961678041106,0.027088668294068387,0.05098078525139878,0.05089137777794152
4,2,0.18922358426676314,11.925921562296738,11.927422633364554,0.13921404133908274,0.6146239202742748,0.6131986271835378
5,2,0.1496779621509479,1.4774940123304867,1.4850562443308675,0.11011985684118426,0.07614532405707401,0.0763479653824551
6,2,0.11978224604560049,1.407992480336235,1.4130784164904335,0.08812522295937407,0.07256343700237261,0.07264752593496343
7,2,0.10012928798517108,1.6692583865250905,1.6722587823948676,0.0736663079860546,0.08602824763834666,0.08597220214128433
8,2,0.08569124752031385,1.347206629518942,1.3499291435187908,0.06304406990765332,0.06943072832813102,0.06940096976904625
9,2,0.07469339880267131,1.6119095205542981,1.613639180944204,0.05495282181111363,0.08307267018949882,0.08295852012124398
10,2,0.06564257471282156,1.523864633550337,1.525277800599101,0.04829402288877217,0.07853511782276511,0.07841578873750871
11,2,0.05737677874044845,1.4865521427644623,1.487659022725384,0.04221277848862318,0.0766121511788695,0.07648177636471341
12,2,0.05193345743324002,1.101459181514945,1.1026828249975342,0.038208062266699636,0.05676568947971796,0.05668983277375635
13,2,0.04628966742468526,1.0640911866600342,1.0650975480386047,0.03405585883706588,0.05483986233331745,0.05475754271059898
14,2,0.04150492630825591,1.0463730898848653,1.047195923475189,0.030535667893846315,0.053926728195811346,0.05383720543874489
15,2,0.03648038361188322,1.015570577768996,1.0162255737869041,0.026839052076355546,0.0523392650675275,0.0522449942380512
16,2,0.03348492545736626,1.0016258932386208,1.0021854470301144,0.024635257887759446,0.051620600549378795,0.051523179750765126
17,2,0.03067090111790641,1.0003962730128577,1.0008663283542916,0.0225649467146529,0.05155722984887072,0.051455362772531786
4,3,0.17905135168879224,11.989477845190065,11.990814750751717,0.1317302088553687,0.617899408172288,0.6164576681809892
5,3,0.14089595109273192,1.494477880797041,1.5011048615023337,0.10365882686314941,0.07702061841179605,0.07717303801719255
6,3,0.11173047261193432,1.4345291309910384,1.4388737005630445,0.08220143748627425,0.07393105125098277,0.0739736827474912
7,3,0.09307462281559516,1.3444747316475087,1.3476925426264352,0.06847610692123292,0.06928993503423266,0.06928598427394747
8,3,0.07800620492847522,1.6467503860261603,1.6485969191663106,0.05739009267633441,0.0848682571561081,0.08475572625253962
9,3,0.0665880883080756,1.554661096832213,1.5560864691616798,0.04898964848558358,0.08012226921345765,0.07999968777828553
10,3,0.05818991049560193,1.5298944719384793,1.531000705731844,0.04281100919128481,0.0788458764412401,0.07871000800673147
11,3,0.05029333215459617,1.5291698439236425,1.529996676736479,0.037001402593556,0.07880853142694555,0.0786583900486415
12,3,0.04521826393072679,1.0785278586551346,1.0794753509405106,0.03326761454459704,0.055583882314581994,0.05549671740679043
13,3,0.03983227119972891,1.0551972752714873,1.0559488148434564,0.029305075637987607,0.05438149853680528,0.05428719879740179
14,3,0.035283584949347954,1.0396002615744142,1.0401988440834131,0.02595855306706789,0.05357767824895656,0.05347747982079544
15,3,0.030587090603041402,1.0185408263784406,1.0189999926944235,0.02250328632212689,0.052492342197457444,0.052387629400535006
16,3,0.027792044977640817,1.0026012366934554,1.0029863596197535,0.020446938014663366,0.051670866636967315,0.051564355327044856
17,3,0.025584393954797433,0.9953539534333639,0.9956827074070642,0.01882274290205461,0.05129736479684639,0.05118886854772012
4,4,0.16891298851390893,10.431321881053224,10.432689384038445,0.12427129449430747,0.5375970246563516,0.5363531589992845
5,4,0.1321309548251916,10.851773298554626,10.852577680553416,0.09721031486896776,0.5592657482983525,0.5579399623605723
6,4,0.10386956605393971,1.380740395351984,1.3846418042616604,0.07641807504354332,0.07115895155265929,0.07118557626516159
7,4,0.08545172129894077,1.7553031783999247,1.757381929113256,0.06286784761795704,0.09046272148802287,0.09034845326558397
8,4,0.071324900431981,1.639539859883985,1.6410905500824835,0.052474577498994424,0.08449664966048656,0.08436981763180709
9,4,0.05973779968969453,1.5877945603337582,1.5889179244181364,0.04394980968008084,0.08182986213390467,0.0816875799500093
10,4,0.05167326209240406,1.5352951844541787,1.5361645189964064,0.03801663346000127,0.07912421192092056,0.07897548390225347
11,4,0.044060181121829675,1.520914652990035,1.5215527204932096,0.032415599249270025,0.07838308524337621,0.0782242792993597
12,4,0.03907499411724065,1.0724295720026815,1.073141203230552,0.02874793788227299,0.05526959609110585,0.055171073652937073
13,4,0.0340981065335387,1.052672815428731,1.0532249224224728,0.025086382497925747,0.05425139593659742,0.05414716124323058
14,4,0.029741461136498785,1.042479514326194,1.042903683136804,0.021881146666708214,0.05372606574291376,0.053616537825636496
15,4,0.025723805933309793,1.027469274959816,1.0277912361847343,0.018925309952641828,0.05295248593061775,0.052839594473392835
16,4,0.02322624904479439,1.0107590087430023,1.0110258317173837,0.017087827646872153,0.05209129216229089,0.051977671213056735
17,4,0.021194949661280285,1.0015654960733562,1.0017897328360938,0.015593376532628794,0.05161748787231694,0.051502835757935385
4,5,0.16015027132755846,10.118941616772366,10.120208869042873,0.1178244592472618,0.5214979432020845,0.5202882782025823
5,5,0.1241105080408905,1.4242099997451547,1.4296074781492512,0.0913095767843667,0.07339923617346114,0.07349729861673851
6,5,0.0959683180539163,1.6866895529531027,1.6894175227312032,0.07060503292214,0.08692659430187065,0.08685434712280006
7,5,0.07825053219837251,1.683571233034387,1.685388751146232,0.05756984715452775,0.08676588604942251,0.086647224655434
8,5,0.06403347354187051,1.5861788297092538,1.5874708077793607,0.04711018802062095,0.08174659253621759,0.08161318249101514
9,5,0.05311700839379705,1.6034370543575578,1.604316615842256,0.03907881478408992,0.08263602633258342,0.08247923936646023
10,5,0.045567181154939185,1.533599260941602,1.5342760707118634,0.03352431709604509,0.07903680943782185,0.07887839721964111
11,5,0.03837625466829618,1.52207456494244,1.522558280712789,0.0282338669597316,0.07844286340203978,0.07827597597894845
12,5,0.03372986314883755,1.0689581447362486,1.069490167727596,0.024815461460364393,0.055090689813356436,0.05498337090884646
13,5,0.02909422027533397,1.0551785514079342,1.0555795796645444,0.021404963867657573,0.054380533568659246,0.054268216112560615
14,5,0.02539043821915979,1.049867852269684,1.0501748338168841,0.01868004736067355,0.054106837091058076,0.053990353674384706
15,5,0.021624502497252233,1.0360885903051391,1.0363142313356233,0.01590940366262975,0.05339669792379159,0.05327776867805274
16,5,0.019366673059549554,1.020010470445131,1.0201943088662537,0.01424829169344828,0.05256808296037951,0.052449030179186104
17,5,0.01761384457868643,1.0076190306732915,1.007772969718788,0.012958714934077792,0.05192946771789054,0.051810438896967195
4,6,0.15133518569806922,11.124691584954292,11.125720884454324,0.1113390959137927,0.5733310854067072,0.5719824795753163
5,6,0.11597384988809871,10.39286453510856,10.393511590361323,0.08532334061389107,0.5356150558328621,0.5343389963392233
6,6,0.08849896486768083,1.6861544378910522,1.6884753048837704,0.06510974095166949,0.08689901618008633,0.08680590692676497
7,6,0.07134880551039986,1.6371959669291263,1.638749915690847,0.05249216474948496,0.08437585290116752,0.0842494836887744
8,6,0.05736351422502916,1.5986185805605508,1.5996474420564288,0.042203019626877274,0.08238769757749433,0.08223919329418125
9,6,0.047040657006488185,1.6072785473302773,1.6079667758133962,0.034608370803750454,0.08283400461529017,0.08266689709873866
10,6,0.04008224430343186,1.554438552034267,1.5549552399856366,0.029488983823256425,0.08011079996511188,0.07994153035407896
11,6,0.033186720719238665,1.5160373167443624,1.5164005091642323,0.02441586511543631,0.07813172290561873,0.0779593998689075
12,6,0.029036542753215922,1.0760056643477087,1.076397375750895,0.021362529828689376,0.055453896472831665,0.05533847616567789
13,6,0.02510728145894795,1.0626290775767218,1.0629256474908362,0.01847172556466529,0.05476450989938102,0.05464588351353613
14,6,0.02168344010801801,1.0575645660710569,1.0577868324875201,0.015952764763802037,0.05450350114633615,0.05438169279922632
15,6,0.01820412750490189,1.0450497948784414,1.0452083352297221,0.013392993102998137,0.05385852979619258,0.05373502188903841
16,6,0.016222523484353765,1.0297154984276817,1.0298432783537355,0.011935103458304754,0.053068249116416014,0.05294509165242583
17,6,0.014941714455011563,1.0230494333204057,1.023158539937999,0.010992797023040622,0.05272470140417963,0.05260142374146036
4,7,0.1432262066854378,11.008706206814031,11.009637872983255,0.1053732236159149,0.5673535693351247,0.5660145562895033
5,7,0.10831232168611057,10.168390974670443,10.168967822389268,0.07968666319883658,0.5240464052263902,0.5227950161772457
6,7,0.08132063495136961,1.7593887743102545,1.761267130459725,0.05982855826195731,0.09067328005676294,0.09054819466866984
7,7,0.06494229291421137,1.6573400317696534,1.6586119143172675,0.04777881724123889,0.08541401368713865,0.08527060540678691
8,7,0.05117661754882733,1.6364688423621645,1.6372688594747968,0.03765124616280871,0.08433837922254744,0.08417334136814235
9,7,0.04141001949086785,1.6102155665031208,1.6107479505879252,0.030465843819588237,0.08298536920615254,0.08280987958591306
10,7,0.03496238244884045,1.5584003983530623,1.5587925358345422,0.025722240567454584,0.08031498087501157,0.08013880889605532
11,7,0.029046499231377,1.5174702977832797,1.5177482675898772,0.021369854928082663,0.07820557417314698,0.07802868924028172
12,7,0.025272372645748487,1.0947350288877054,1.095026701178063,0.018593185114187234,0.056419148122164316,0.0562962251386488
13,7,0.021723090636496162,1.078218358154679,1.0784371657767424,0.015981936129158332,0.05556793164696078,0.05544334345193415
14,7,0.01856575721066233,1.0726431264491108,1.0728037863744369,0.013659048378307795,0.05528060200543882,0.05515372677429292
15,7,0.015511871970406385,1.066975347537834,1.0670880987179587,0.011412268687873183,0.05498850277641908,0.05485987856147298
16,7,0.01377068536639827,1.0514117182939209,1.0515018940264613,0.01013125699575918,0.054186403016696444,0.05405857893341312
17,7,0.013224629614279499,1.0312571904421977,1.0313419819183014,0.009729517284805722,0.05314770300053454,0.05302214123778857
4,8,0.1348015446070045,10.724220666589458,10.72506784883587,0.09917509953217814,0.5526920928965275,0.5513845768288409
5,8,0.10072591038254157,9.034348199203945,9.03490968928201,0.07410525017929762,0.4656014613472101,0.464492152956616
6,8,0.07455168156397449,1.7561322595249123,1.7577139887274296,0.05484855875319275,0.09050544968211702,0.0903655247240049
7,8,0.058753049182764236,1.6747450560794988,1.675775320158104,0.04322531702071335,0.0863110130693588,0.08615299024573396
8,8,0.045531008376927265,1.65444017342804,1.6550665727324756,0.03349770435306691,0.08526456424687089,0.08508833647413336
9,8,0.03646483625318731,1.6200235547772635,1.6204338932261733,0.026827613699661683,0.08349084160688638,0.0833078418793039
10,8,0.03085249673661606,1.5572283022212519,1.5575339038986489,0.02269854877101391,0.08025457478264307,0.08007410159096996
11,8,0.025403575132742336,1.5113066834079445,1.5115201728534904,0.01868971234423062,0.07788792116741165,0.07770849775719983
12,8,0.02202834005495879,1.1098842684072476,1.110102849750179,0.01620651175658477,0.05719989155855514,0.0570713023612649
13,8,0.018817863477410796,1.0942262542736036,1.0943880516194864,0.01384452595699843,0.05639292750296757,0.05626339163851986
14,8,0.015960502206253547,1.09356560656769,1.0936820714898987,0.011742331287845608,0.05635887982951879,0.0562270966182469
15,8,0.013725178229399558,1.0799532318019873,1.0800404452597994,0.010097776853862962,0.05565734149564369,0.055525769371449395
16,8,0.012421223481541638,1.0569503041167556,1.0570232883741402,0.009138441838219932,0.05447184404642518,0.054342438367107095
17,8,0.011717776089406058,1.0393294454600885,1.039395498584084,0.00862090722588232,0.05356372125108509,0.05343617916662355
4,9,0.12736001236549382,10.49071660126263,10.491489664521291,0.09370027576160997,0.5406580389006603,0.5393761298772701
5,9,0.09338019702669229,9.88370632172828,9.884147434926712,0.06870092150246324,0.509374667154055,0.5081521653322215
6,9,0.06800644643453356,1.726581998682784,1.727920795329488,0.05003315142743661,0.08898252358629767,0.0888338320983133
7,9,0.05302355836703421,1.670207951387319,1.671049400412605,0.0390100624880201,0.08607718517957808,0.08591002681690289
8,9,0.04051716217975949,1.6509901716002375,1.6514872652102657,0.029808958077252284,0.0850867621678214,0.08490432132464522
9,9,0.032182972675729615,1.6101516572415673,1.6104732543721467,0.023677395742474346,0.08298207552686138,0.08279575722707781
10,9,0.02728572291516856,1.544854067920053,1.5450950138564745,0.020074430851726787,0.07961684625517734,0.07943460800279008
11,9,0.022648215007069636,1.502280082916946,1.5024507942598162,0.01666256113088773,0.07742271899820849,0.07724223352946198
12,9,0.019518812828817407,1.1175336679548473,1.1177041124854383,0.014360222731063096,0.05759411718825856,0.057462089542821115
13,9,0.016754987771004554,1.1019840520439792,1.1021114193104407,0.012326843766473139,0.05679273963097934,0.05666045633647723
14,9,0.014324255900834535,1.0976449793916394,1.0977384411100783,0.010538525421435253,0.05656911768025586,0.056435637923347076
15,9,0.01228114573577543,1.0772199664178168,1.0772899714514126,0.009035384974746239,0.05551647772450504,0.055384365246245584
16,9,0.011047530051179954,1.057553695395918,1.0576113967643284,0.008127799244472232,0.05450294090644735,0.054372673504117314
17,9,0.010711512175250432,1.0371570391036806,1.0372123506087816,0.007880586896964976,0.05345176236352831,0.053323941730041964
4,10,0.11929923708051003,10.47060944171981,10.47128905097171,0.08776986751943876,0.539621780095902,0.5383375996869992
5,10,0.08630717449667255,1.8110928576888565,1.8131481648065024,0.06349721470924304,0.09333794343345417,0.09321544140052576
6,10,0.06191468978200662,1.7312368757683316,1.732343657832041,0.04555137361026481,0.08922242108920923,0.08906121510452963
7,10,0.04817614623671347,1.6811997932470537,1.6818899149112458,0.0354437637345482,0.08664366961430917,0.08646734660113985
8,10,0.03588124336384019,1.6483882365971698,1.6487787123132267,0.0263982574704285,0.08495266674521355,0.08476507238804157
9,10,0.028440272506269394,1.6064794360018835,1.6067311621416822,0.020923846716701312,0.082792820968825,0.08260337318158452
