T,X,theta2_error,theta1_error,theta_error,theta2_rerror,theta1_rerror,theta_rerror
4,0,0.2091859868820598,1.4183661645388737,1.4337089501766167,0.1539006183515733,0.0730980635651088,0.0737081586737618
5,0,0.1680070919815691,11.182551805436534,11.183813806757872,0.123604815641839,0.576313016434424,0.5749690845863578
6,0,0.1368214595429497,1.3969848204206383,1.4036690137910528,0.1006611749729523,0.0719961373555462,0.0721637807877312
7,0,0.1170126074966142,1.3938356809169783,1.398738665981052,0.0860875669401893,0.0718338407600907,0.0719103075436313
8,0,0.1013008778682407,1.344307837701185,1.3481192196396103,0.0745282605964869,0.0692813338530976,0.0693079200908269
9,0,0.0893415328278551,1.3184225271883483,1.3214461281814485,0.0657296282204432,0.0679472875958075,0.0679366344771912
10,0,0.0801182715489907,1.2877282340834602,1.2902181762367575,0.0589439652073865,0.0663654017298283,0.0663311797322011
11,0,0.0717224829223524,1.2030938758785152,1.2052298489221611,0.0527670836655209,0.0620036171282698,0.0619618597845574
12,0,0.0657067100609938,1.1467414550896529,1.1486223646473952,0.0483412080271699,0.0590993932826515,0.0590516223667517
13,0,0.060219835796343,1.119079515237031,1.1206986169557305,0.0443044493764904,0.0576737852216057,0.0576160394854635
14,0,0.0554835044478877,1.3698508372204017,1.3709740097825538,0.0408198740752959,0.0705977384947059,0.0704829036871169
15,0,0.0502319818783539,1.0573416786648366,1.0585342117500038,0.0369562664656994,0.0544920142410538,0.0544201161830392
16,0,0.0469277624344903,1.0252957497443416,1.02636912917864,0.0345253129245016,0.0528404693806369,0.0527664827802257
17,0,0.0437692132992488,0.9939007471568972,0.9948640305247112,0.0322015307617816,0.0512224711851499,0.051146779694512
18,0,0.0410193974249054,0.9860411613005804,0.9868939977242234,0.0301784585200783,0.0508174132241774,0.0507370337399924
19,0,0.0377509309176377,0.9838360827588056,0.9845600898489336,0.0277738088395358,0.0507037705165025,0.0506170456127086
20,0,0.0351976925865779,0.9797800997437978,0.980412118151028,0.0258953610342792,0.0504947381018393,0.0504037949693016
21,0,0.0330824794345725,0.9846193871915736,0.985175003783109,0.024339173562589,0.0507441395260353,0.0506486588448261
22,0,0.0314527772593398,0.992333102478572,0.992831437592542,0.0231401822905846,0.0511416797836002,0.051042282416773
25,0,0.0271826710258839,1.017375707207692,1.0177387814269696,0.0199986143512068,0.052432295675386,0.0523227894898884
30,0,0.0221289341051242,1.0460394532574986,1.0462734955526092,0.0162805199956341,0.0539095336292708,0.0537897826590557
35,0,0.0183611782848708,1.00475887007192,1.0049266241155173,0.0135085372295913,0.051782064172408,0.0516641059237787
40,0,0.0157017548314259,1.1021145381890216,1.1022263834586736,0.0115519677669599,0.056799464470279,0.0566663667380819
45,0,0.01383131951089,1.0631410350322723,1.0632310030134111,0.0101758662569701,0.0547908945520638,0.0546615820926006
4,1,0.1995017282240004,1.4894989848181974,1.5028001082442084,0.1467757940841036,0.0767640220096505,0.0772601920492754
5,1,0.1575836789859353,1.451243661592683,1.4597742226781785,0.1159361867376175,0.0747924647920885,0.0750481958139242
6,1,0.1281547406466122,1.4295368163411954,1.435269712223149,0.0942849668095556,0.073673763293377,0.0737883987368259
7,1,0.1092943575688821,1.364559069929044,1.3689290383076882,0.0804091586769261,0.0703250177040481,0.0703777700182965
8,1,0.0933896975890902,1.3596962852488947,1.3628997115471944,0.0687079111792074,0.0700744053075175,0.0700677973606635
9,1,0.0812146777079772,1.281235299053515,1.2838067282172811,0.0597506042578675,0.0660307765890084,0.0660015619057308
10,1,0.0722541001656788,1.2400689180694002,1.242172120341044,0.0531582007938418,0.0639091927489845,0.0638610924029886
11,1,0.0641014825413512,1.1605631771552931,1.1623320903394123,0.0471602230503548,0.0598117207079619,0.0597564506630084
12,1,0.0585671957210914,1.1307294319921068,1.132245187575476,0.0430885824186467,0.0582741847353431,0.0582096581967599
13,1,0.0528783277494245,1.0930220393904615,1.0943003683353394,0.0389032145954492,0.056330866112704,0.0562588837686204
14,1,0.0480618827565589,1.0695068187055694,1.0705861851489644,0.0353596987332883,0.0551189667179306,0.0550397180677265
15,1,0.0430906421303524,1.0172578708600932,1.0181701131274754,0.0317022978827285,0.0524262227662583,0.0523449646080796
16,1,0.0399015720967852,1.004019371135994,1.004811939156831,0.0293560611321321,0.0517439527583203,0.0516582098755387
17,1,0.036819668894836,0.9892111680605604,0.9898961678041106,0.0270886682940683,0.0509807852513987,0.0508913777779415
18,1,0.0341379185194831,0.9757745313567976,0.9763715140894992,0.0251156726494601,0.05028830389614,0.0501960641845643
