T,X,theta2_error,theta1_error,theta_error,theta2_rerror,theta1_rerror,theta_rerror
18,0,0.041019397424905485,0.9860411613005803,0.9868939977242234,0.030178458520078326,0.050817413224177446,0.05073703373999247
19,0,0.03775093091763773,0.9838360827588057,0.9845600898489335,0.027773808839535816,0.050703770516502523,0.050617045612708605
20,0,0.03519769258657798,0.9797800997437978,0.9804121181510281,0.025895361034279248,0.05049473810183938,0.05040379496930165
21,0,0.03308247943457252,0.9846193871915735,0.985175003783109,0.024339173562589005,0.050744139526035334,0.05064865884482613
22,0,0.03145277725933985,0.9923331024785721,0.9928314375925421,0.023140182290584625,0.05114167978360027,0.051042282416773097
25,0,0.027182671025883932,1.017375707207692,1.0177387814269696,0.019998614351206874,0.05243229567538605,0.05232278948988844
30,0,0.02212893410512427,1.0460394532574986,1.0462734955526092,0.01628051999563419,0.05390953362927089,0.05378978265905571
35,0,0.018361178284870893,1.0047588700719199,1.0049266241155173,0.013508537229591345,0.051782064172408014,0.051664105923778736
40,0,0.015701754831425913,1.1021145381890216,1.1022263834586736,0.011551967766959905,0.05679946447027905,0.0566663667380819
45,0,0.013831319510890052,1.0631410350322725,1.0632310030134111,0.010175866256970185,0.054790894552063873,0.05466158209260065
18,1,0.034137918519483106,0.9757745313567976,0.9763715140894992,0.025115672649460144,0.05028830389614009,0.05019606418456438
19,1,0.030927005614512677,0.9777220265470762,0.9782110410701782,0.022753365838599975,0.05038867158029026,0.05029063578262817
20,1,0.02840260826553482,0.9796574899556459,0.9800691331648406,0.020896136686860443,0.0504884191848262,0.05038616182850168
21,1,0.026402426856466873,0.9844231085439122,0.9847771041099455,0.019424579436496277,0.05073402395121275,0.05062820249471257
22,1,0.02487242295757745,0.9770254181815647,0.9773419591916854,0.018298937372087064,0.050352770609260904,0.05024595556702894
25,1,0.0208094312813462,0.9975706841152728,0.9977877039914185,0.015309746075626893,0.05141160801862093,0.0512970881568871
30,1,0.01669502320710335,1.0234160290717635,1.0235521932763871,0.012282727123665795,0.05274359457873881,0.05262166178400365
35,1,0.013421616093845477,0.9927444095047321,0.9928351335350042,0.009874442580538826,0.05116287723450872,0.051042472428220964
40,1,0.01093748211801769,1.0306367215598617,1.0306947561440012,0.008046835671269147,0.05311572601537013,0.05298886682734146
45,1,0.009492255641672765,1.0374031936626784,1.0374466198984367,0.006983565364864963,0.05346444838357752,0.05333598570728864
18,2,0.028184269419523518,0.9853962817988267,0.9857992621348755,0.020735502201194567,0.0507841781936264,0.05068075248115292
19,2,0.025113586535668406,0.9864874848840915,0.98680709870857,0.018476364284593406,0.05084041531665102,0.050732566189982696
20,2,0.022826426808948704,0.987503374816258,0.9877671593216507,0.016793673672963506,0.05089277104022456,0.0507819236973043
21,2,0.02097387457732821,0.9915230617644494,0.9917448691198425,0.015430728964168422,0.05109993287148994,0.0509864210361311
22,2,0.019840810148489502,0.9825224172158937,0.9827227269576659,0.014597119988588403,0.050636068388688234,0.05052258527226493
25,2,0.01613286031247608,0.9976585041452505,0.9977889356347868,0.011869137196410168,0.05141613398257445,0.05129715147668768
30,2,0.012401247308076005,1.0088936092916139,1.0089698240305585,0.009123745129829074,0.05199515543040809,0.051871970163484354
35,2,0.009881950948490885,1.0088162385257045,1.008864637138055,0.007270268836650712,0.05199116798816227,0.05186656241865435
40,2,0.008039591947976403,0.9420430538739281,0.9420773590267448,0.005914823409206153,0.04854989124443287,0.04843297341036178
45,2,0.007069536016911598,0.963054322982254,0.9630802704625933,0.005201141724062223,0.04963274496955916,0.04951275039615362
18,3,0.023422074061879204,0.9963316725275436,0.9966069411934139,0.01723189844084485,0.051347753317301834,0.051236384168353945
19,3,0.02057136000832975,0.9936639929511383,0.9938769097530097,0.015134594208739962,0.05121026962929323,0.05109603100213504
20,3,0.018436678783723657,0.9896717441514847,0.9898434584803882,0.013564083844507973,0.05100452187259905,0.050888667948170256
21,3,0.01674205513797454,0.9933309058755074,0.9934719849989224,0.012317329074548028,0.051193103384894634,0.05107521348682168
22,3,0.01543144491708335,0.9906962443475165,0.9908164199570489,0.011353097548242357,0.05105732134168138,0.05093868869952033
25,3,0.012596818680832789,0.9877646674279562,0.9878449868577248,0.009267629314653103,0.05090623722717722,0.05078592487507293
30,3,0.010029700201646025,0.9676752190213781,0.9677271952333503,0.007378969719345973,0.04987089119783264,0.04975165262823203
35,3,0.007807026975126055,0.9522841090007332,0.9523161102940089,0.005743722592836628,0.04907768252805839,0.04895935605094982
40,3,0.006314098189464888,0.9355269315302079,0.9355482389776983,0.004645357130155523,0.04821407110349335,0.048097305967875724
45,3,0.005760503462843105,0.9141187642076473,0.9141369145137186,0.004238070906000852,0.04711076251162082,0.04699653213172718
18,4,0.01924638191072586,0.9941595231628992,0.9943458053977685,0.014159792064662795,0.05123580767428002,0.051120137313657374
19,4,0.01666454815624678,1.0023297224911445,1.0024682437635752,0.01226030626631761,0.05165687366186994,0.051537718563890195
20,4,0.014862303038185275,1.0143975388482518,1.0145064094785154,0.010934373099259194,0.052278810386827475,0.05215661058416289
21,4,0.013548415315263532,1.0154814963821022,1.015571872912985,0.009967730275731043,0.05233467409726577,0.05221138693739644
22,4,0.012453414605535616,0.9956039885900296,0.9956818716998483,0.009162125230984183,0.05131025081050945,0.05118882558332343
25,4,0.010378713079484986,0.97342345308618,0.9734787808182613,0.00763574264430467,0.050167136828588095,0.050047346383136834
30,4,0.008341120945749838,0.9397791391948693,0.9398161547688363,0.006136661878885413,0.04843321631009416,0.04831672303596384
35,4,0.006621551802204704,0.9084742053372594,0.9084983361082365,0.004871554409525677,0.046819859969371616,0.04670664816904806
40,4,0.005439136025225626,0.8727007032208669,0.8727176528539436,0.004001637060194174,0.04497620788782272,0.044867133755443996
45,4,0.0054311291093217945,0.847734509274242,0.8477519067379572,0.003995746276939254,0.043689529963802626,0.043583624172903346
18,5,0.015981576709709996,1.002952623355793,1.0030799447154726,0.011757836050672902,0.05168897598363792,0.051569166613940925
19,5,0.013886044394989692,1.003881120539325,1.0039771543238574,0.010216128005033173,0.05173682776397414,0.05161529289931447
20,5,0.012536567046434131,0.9949089657181566,0.9949879474544814,0.009223301470666715,0.05127443155076005,0.05115315036599374
21,5,0.011441294111349806,0.9901908725237631,0.9902569703063513,0.00841749614648763,0.05103127609143478,0.0509099269319255
22,5,0.010506427852194054,0.9765190304503024,0.9765755484640254,0.007729703921470134,0.050326673002384865,0.05020655375990715
25,5,0.00898572959462151,0.9575105570351075,0.9575527192640777,0.006610908128047673,0.04934703697276247,0.049228574433684155
30,5,0.007315875004713056,0.9154043105938383,0.9154335442187298,0.005382376247042578,0.047177015467876476,0.04706319293343753
35,5,0.005742903920146063,0.8824830499578687,0.882501736207005,0.004225122713131189,0.04548035880560056,0.04537014154386292
40,5,0.005128646972358542,0.837888488032044,0.8379041838995626,0.003773206571422573,0.04318209746532675,0.043077344626097004
45,5,0.005338204153375337,0.050116377507089284,0.05039987815477531,0.0039273802817136,0.002582838085295993,0.0025910992713777847
18,6,0.013810802191653659,1.0087477455661344,1.0088422832345678,0.010160771421200055,0.05198763807971015,0.051865413186053824
19,6,0.01203522932543622,1.001017144331587,1.0010894914994766,0.008854461347030478,0.051589227574321946,0.051466835773738485
20,6,0.010926885067068228,0.9916645183602741,0.9917247167394707,0.008039039294857258,0.051107223092796555,0.05098538498564825
21,6,0.010120865667705098,0.9828305177221552,0.9828826270149774,0.007446041236936256,0.05065194690507858,0.05053080586598781
22,6,0.009267824828642938,0.9652694854221046,0.965313975898054,0.0068184489466131485,0.04974690736914508,0.04962758703342725
25,6,0.00793127522031862,0.9308246859214824,0.9308584753051599,0.005835133504481559,0.047971732378135276,0.04785620135255242
30,6,0.0065750909063069735,0.8737753553085345,0.8738000934796138,0.00483737257586461,0.04503159202527515,0.04492278292006838
35,6,0.005597015572658444,0.8301183099337447,0.8301371784654493,0.004117790920866861,0.042781647294741675,0.04267803647580118
40,6,0.005218316146028525,0.05094335488202761,0.051209923159834046,0.0038391772489071293,0.0026254578588294384,0.0026327443526604276
45,6,0.004666312648658059,0.04643656266297036,0.04667042774270447,0.0034330617110367883,0.0023931921771318714,0.002399365152186452
18,7,0.012218052142195008,1.0156106897238997,1.0156841801857528,0.008988966267591039,0.0523413323096139,0.05221716074684386
19,7,0.01080703174370048,1.0056400287700564,1.0056980955534067,0.007950861779466672,0.051827476278349126,0.05170376790618404
20,7,0.009844352417152256,0.9933300125565561,0.9933787923647861,0.007242607149993908,0.05119305734608807,0.051070422376699016
21,7,0.009123101274444496,0.9832876607573687,0.9833299826480234,0.006711974106624296,0.050675506597548575,0.05055380478775648
22,7,0.00801727014793033,0.9669147733806216,0.9669480108063327,0.005898400995444051,0.049831700257456604,0.04971159411469924
25,7,0.007226439663457553,0.9248443765504095,0.9248726086694996,0.0053165776028462714,0.04766352632706396,0.0475484630157534
30,7,0.006419882099880665,0.8607812660107005,0.8608052060722917,0.004723183611112942,0.04436191815035403,0.04425470504913887
35,7,0.005442433708805478,0.8127945688262691,0.8128127897604438,0.004004063205222489,0.04188883698925089,0.04178737537513834
40,7,0.005192561402326786,0.04656317956224422,0.046851813037093154,0.0038202291776703178,0.002399717607858391,0.0024086903196538388
45,7,0.005124971700130707,0.04072917155940594,0.041050344101391675,0.003770502629935359,0.0020990514621953126,0.00211043202057514
18,8,0.01113327618377051,1.022384211139978,1.0224448273754916,0.008190883693978798,0.052690417976919764,0.05256473119043857
19,8,0.009708191244658897,1.013235909357522,1.0132824171911834,0.007142431756055986,0.052218943711722414,0.05209368413195722
20,8,0.00898933565513012,1.0001028612434881,1.000143260349702,0.0066135611496499335,0.05154210834308163,0.051418189250522564
21,8,0.00843330268019678,0.9882479589479203,0.9882839414656226,0.006204481077214904,0.05093114452906446,0.0508084918932153
22,8,0.007740066705535007,0.965972525609627,0.9660035346028748,0.005694459126154891,0.04978313981574539,0.04966303781471974
25,8,0.006980751208685718,0.9227381333799577,0.9227645385909486,0.005135821684752454,0.04755497727886573,0.04744008539571685
30,8,0.006227217145586204,0.8551542719734726,0.8551769449113197,0.0045814377129170325,0.04407192084352494,0.04396535150450264
35,8,0.0052829519134316525,0.8046889543864889,0.8047062960438053,0.003886730551684424,0.041471099500606026,0.04137061385245953
40,8,0.005058269208700767,0.04410516674389506,0.044394276893474416,0.003721428813712449,0.0022730394751366094,0.0022823463612109203
45,8,0.005055317234177111,0.03846594302632724,0.038796713845928,0.0037192570109482186,0.001982411889629691,0.001994571031884762
18,9,0.010149584071658538,1.0133349060168118,1.0133857339675394,0.007467169708266396,0.05222404568346597,0.052098995732574885
