DATE,NGDPRSAXDCCAQ,,,,https://fred.stlouisfed.org/series/NGDPRSAXDCCAQ
10/1/2011,454848,,,,
1/1/2012,455139.5,,,,
4/1/2012,456624,,,,
7/1/2012,457246,,,,
10/1/2012,458191.5,,,,
1/1/2013,462301.5,,,,
4/1/2013,464984.5,,,,
7/1/2013,468774,,,,
10/1/2013,473698.8,,,,
1/1/2014,474473,,,,
4/1/2014,478806.5,,,,
7/1/2014,483398.5,,,,
10/1/2014,486743.5,,,,
1/1/2015,484068.8,,,,
4/1/2015,482751.3,,,,
7/1/2015,484458.8,,,,
10/1/2015,484821.5,,,,
1/1/2016,487480.8,,,,
4/1/2016,485083.8,,,,
7/1/2016,490086,,,,
10/1/2016,492837.8,,,,
1/1/2017,498194.5,,,,
4/1/2017,503291.3,,,,
7/1/2017,505414.5,,,,
10/1/2017,508032.5,,,,
1/1/2018,512479,,,,
4/1/2018,516502.5,,,,
7/1/2018,520067,,,,
10/1/2018,521839.8,,,,
1/1/2019,522312.8,,,,
4/1/2019,527487.5,,,,
7/1/2019,529210.5,,,,
10/1/2019,530801.8,,,,
1/1/2020,519350.8,,,,
4/1/2020,462001.3,,,,
7/1/2020,503507.3,,,,
10/1/2020,514546.3,,,,
1/1/2021,520170,,,,
4/1/2021,516050,,,,
7/1/2021,522799,,,,
10/1/2021,531177.3,,,,
1/1/2022,535240.5,,,,
4/1/2022,539560.5,,,,
7/1/2022,541718.7,,,,
